1,436
2,569
3,126
4,533
5,152
6,525
7,300
8,772
9,58
10,778
11,433
12,52
13,136
14,821
15,139
16,832
17,102
18,145
19,79
20,424
21,504
22,323
23,534
24,54
25,750
26,401
27,713
28,148
29,498
30,61
31,285
32,442
33,524
34,256
35,175
36,770
37,200
38,636
39,156
40,753
41,487
42,201
43,747
44,791
45,159
46,484
47,722
48,595
49,801
50,530
51,614
52,18
53,605
54,453
55,669
56,826
57,455
58,339
59,681
60,417
61,232
62,757
63,235
64,658
65,673
66,529
67,385
68,67
69,572
70,706
71,221
72,667
73,746
74,402
75,33
76,578
77,140
78,26
79,76
80,66
81,766
82,490
83,127
84,268
85,779
86,108
87,264
88,35
89,236
90,522
91,43
92,195
93,109
94,729
95,725
96,460
97,555
98,313
99,809
100,496
101,495
102,749
103,111
104,670
105,823
106,716
107,479
108,85
109,119
110,244
111,334
112,94
113,639
114,343
115,509
116,62
117,645
118,709
119,340
120,471
121,579
122,717
123,34
124,3
125,42
126,715
127,654
128,439
129,252
130,382
131,296
132,788
133,376
134,686
135,663
136,745
137,174
138,680
139,422
140,420
141,173
142,790
143,634
144,771
145,428
146,586
147,189
148,650
149,600
150,222
151,75
152,660
153,531
154,803
155,331
156,497
157,606
158,116
159,155
160,742
161,684
162,56
163,528
164,574
165,545
166,675
167,88
168,819
169,260
170,142
171,797
172,414
173,193
174,806
175,708
176,220
177,811
178,53
179,482
180,204
181,9
182,426
183,211
184,199
185,46
186,187
187,97
188,824
189,668
190,354
191,526
192,366
193,316
194,295
195,430
196,188
197,172
198,438
199,115
200,651
201,342
202,330
203,100
204,817
205,266
206,431
207,305
208,224
209,802
210,550
211,423
212,796
213,124
214,795
215,101
216,349
217,786
218,191
219,814
220,299
221,237
222,383
223,24
224,831
225,225
226,764
227,697
228,506
229,379
230,652
231,132
232,827
233,373
234,168
235,793
236,361
237,425
238,732
239,731
240,177
241,601
242,166
243,718
244,83
245,17
246,818
247,64
248,297
249,539
250,777
251,541
252,37
253,449
254,512
255,661
256,348
257,45
258,598
259,565
260,781
261,655
262,68
